12.9459,-88.7273,67.408,4.6,0.99,us
41.5,-112.1718333,6.87,2.79,0.19,uu
-26.3612,-71.3386,19.321,4.3,0.85,us
18.43,-66.3895,112,3.68,0.15,pr
56.3377,114.3667,10,4,0.18,us
9.2148,126.5496,35,4.6,0.93,us
40.5713333,-124.2338333,9.23,2.53,0.14,nc
59.0989,-153.6504,101.3,3.1,0.55,ak
34.7861,14.2138,10,4.1,0.67,us
37.5881,141.6819,45.602,4.8,0.67,us
19.26916695,-155.4111633,32.86999893,2.5,0.109999999,hv
18.86466667,-65.3465,11.06,3.18,0.17,pr
27.9123,139.453,507.551,4.6,0.64,us
31.68213056,-104.394701,6.131567383,2.6,0.2,tx
34.8994,14.3274,10,5.3,0.57,us
3.1707,127.0414,28.893,5.3,1.04,us
31.66936265,-104.378976,6.131567383,2.8,0.2,tx
2.9579,127.2868,40.251,4.5,0.76,us
31.6676906,-104.3889197,7.391259766,2.7,0.2,tx
31.67159174,-104.3897618,6.131567383,3.5,0.2,tx
2.999,127.0786,52.052,4.4,1.05,us
-21.6237,-68.4797,121.452,4.5,1.12,us
-26.7346,-63.118,596.117,6.4,0.69,us
40.4476667,-124.0195,23.54,2.69,0.14,nc
19.17499924,-155.4996643,34.25,2.47,0.150000006,hv
3.5382,128.5469,10,5.2,0.63,us
50.0876,142.5264,10,4.5,0.48,us
60.2295,-151.613,60.1,2.6,0.39,ak
60.815,-151.6609,71.9,2.6,0.48,ak
3.0692,126.9846,35,4.9,0.76,us
60.9904,-150.9893,11.7,3.3,0.64,ak
19.2801,-64.39,36,3.82,0.34,pr
19.0253334,-155.4049988,32.31000137,2.56,0.159999996,hv
2.8233,127.0129,35,4.5,0.67,us
52.532,160.2688,35,4.4,0.61,us
-21.3068,-68.3886,118.147,4.6,0.62,us
18.25716667,-67.40433333,13.4,3.06,0.27,pr
2.8408,127.2582,35,4.7,0.33,us
19.03483391,-155.414505,35.29000092,3.15,0.129999995,hv
19.05433273,-155.409668,34.74000168,2.68,0.140000001,hv
17.968,-65.35033333,33.79,2.74,0.14,pr
29.5974,81.6522,25.227,5.6,0.64,us
58.7763,-153.1704,62.9,3.1,0.46,ak
17.927,-66.856,13.33,2.47,0.12,pr
19.05266762,-155.4071655,34.72000122,2.63,0.150000006,hv
60.8036,-144.8644,38.3,2.9,0.38,ak
-22.1207,-175.4364,43.479,4.7,0.46,us
37.2088,-97.8154,5,2.6,0.2,us
2.8173,126.9755,53.755,4.5,0.65,us
19.04116631,-155.4158325,31.39999962,2.81,0.150000006,hv
60.2015,-150.9461,55.6,3,0.58,ak
19.33099937,-155.5025024,2.839999914,2.56,0.100000001,hv
2.657,126.8553,49.8,4.3,0.52,us
2.873,126.9762,48.303,4.5,0.4,us
42.0325,-124.457,-0.43,2.65,0.16,uw
2.7674,127.1561,35,4.5,0.57,us
-20.6561,-177.6509,382.398,4.4,0.77,us
2.8152,127.0691,35,4.9,0.64,us
2.9666,127.1382,35,4.5,0.88,us
2.9174,127.1702,35,4.6,0.72,us
2.949,127.1119,35,5.4,0.69,us
2.8291,126.8647,35,4.7,0.6,us
42.03933333333333,-124.3936667,6.47,2.65,0.05,uw
2.8162,126.9434,35,5.8,0.5,us
45.8392,143.2519,332.997,4.1,0.46,us
2.7647,126.9115,19.977,5.1,0.68,us
18.29833333,-65.74066667,127.66,3.36,0.2,pr
43.3128,-127.2549,10,3,0.56,us
-5.4748,104.3869,81.614,4.5,0.82,us
-30.5569,-71.8736,26.391,3.9,0.59,us
-22.6311,-66.3455,256.607,4.2,0.56,us
-18.3802,-177.8302,567.066,4.4,0.79,us
69.5383,-144.7274,1.9,4,0.46,ak
20.29383333,-156.6108333,4.54,2.51,0.26,hv
2.8806,127.0996,11.958,5.5,1.05,us
19.03549957,-155.412674,32.38000107,2.57,0.180000007,hv
18.84816667,-64.62883333,11.03,3.18,0.2,pr
2.7517,126.938,35.081,5,0.8,us
2.7595,127.0544,49.772,4.6,0.81,us
-5.512,147.1636,199.263,4.6,0.97,us
2.9642,127.0078,57.251,4.5,0.52,us
3.0087,127.0747,35,4.7,0.62,us
37.1093333,-121.5168333,5.65,3.62,0.1,nc
24.8127,93.0266,10,5.1,0.72,us
-6.9082,126.6054,452.334,4.4,0.52,us
18.857,-65.001,14.35,3,0.25,pr
35.0331,14.1929,10,5.1,1.15,us
-23.3485,-179.5499,565.089,4.6,0.74,us
63.1496,-150.8705,132.5,3,0.35,ak
57.7218,-153.1781,52.7,3,0.43,ak
-23.0448,171.6843,10,4.9,0.46,us
18.007,-67.1566,7,3.52,0.12,pr
19.2256,-65.8093,122,3.91,0.58,pr
19.5396,-65.7353,107,3.93,0.45,pr
19.4815,-65.78,82,3.95,0.53,pr
24.1828,125.3303,28.301,4.2,0.63,us
17.8768,-66.8725,11,3.6,0.15,pr
-57.6946,-23.6704,10,5.1,0.75,us
